,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
37,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg",N/A,i3,LENOVO,16GB,4.0,512GB,Windows 11,Grey,N/A,15.6
38,HP Omen,"1,55,490",Ryzen 9,HP,24GB,4.2,1TB,Windows 11,Black,(11% off),16
39,HP Smartchoice Victus,"1,05,990",i7,HP,24GB,4.0,1TB,Windows 11,Silver,(15% off),15.6
40,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,"2,43,990",,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,(2% off),N/A
41,ASUS Vivobook S16,"67,990",,ASUS,16GB,4.3,512GB,Windows 11,Metallic,(1% off),16
42,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,(33% off),N/A
43,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,N/A,(33% off),N/A
44,HP OmniBook 5 OLED (Previously Pavilion),"66,990",,HP,16GB,4.1,512GB,Windows 11,Silver,(20% off),14
45,HP 15,"56,990",Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
46,HP 15 255R G10,"38,990",Ryzen 5,HP,N/A,4.5,512GB,Windows 11,Silver,(13% off),N/A
47,HP 15,"67,990",i7,HP,16GB,4.0,512GB,Windows 11,Silver,(16% off),39.6
48,ASUS Vivobook 15,"36,990",i3,ASUS,8GB,4.2,512GB,Windows 11,Silver,(27% off),15.6
49,"DELL 14 (2026) Intel Core 3 14th Gen 100U - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021","45,299",,DELL,16GB,5.0,512GB,Windows 11,Blue,(31% off),14.0
50,MSI Raider 18,"4,99,990",,MSI,N/A,3.0,4TB,Windows 11,Black,(11% off),46
