,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
52,acer SmartChoice ALG,62990.0,i5,ACER,6GB,4.0,512GB,Windows 11,Gray,16.0,15.6
53,MSI Crosshair 16 HX,169926.0,i7,MSI,,3.8,1TB,Windows 11,Gray,14.0,41.0
54,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,33.0,14.0
55,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.3,8GB,,Gray,34.0,
56,"Samsung Galaxy Book 4 15.6"" Full HD",55150.0,i5,SAMSUNG,16GB,4.9,512GB,Windows 11,Silver,29.0,15.6
57,HP Victus,80490.0,i5,HP,24GB,3.9,512GB,Windows 11,Silver,20.0,15.6
58,Dell 15,39990.0,,DELL,8GB,4.0,512GB,Windows 11,Black,16.0,15.6
59,HP 15,39990.0,i3,HP,8GB,3.9,512GB,Windows 11,Silver,21.0,15.6
60,HP Professional 14 (2025),44050.0,i3,HP,,5.0,512GB,Windows 11,Silver,10.0,14.0
61,ASUS Vivobook 15 (2025),37927.0,i3,ASUS,8GB,5.0,512GB,Windows 11,Silver,26.0,15.6
62,ASUS Zenbook 14,114990.0,,ASUS,,4.1,32GB,Windows 11,Blue,28.0,14.0
63,ASUS Vivobook Go 14,42990.0,Ryzen 5,ASUS,16GB,4.5,512GB,Windows 11,Black,19.0,
64,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,33.0,
65,MSI Katana 15 HX,102990.0,i5,MSI,,,512GB,Windows 11,Black,10.0,40.0
66,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.3,8GB,,Gray,34.0,
67,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,33.0,
68,ASUS Vivobook Go 14,42990.0,Ryzen 5,ASUS,16GB,4.5,512GB,Windows 11,Black,19.0,
69,HP Laptop 15,55990.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
70,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),99990.0,,LENOVO,24GB,4.1,1TB,Windows 11,Grey,25.0,35.5
71,HP Omen,164490.0,i9,HP,24GB,3.6,1TB,Windows 11,Black,14.0,16.0
72,HP Professional 14 (2025),57900.0,i3,HP,,5.0,512GB,Windows 11,Silver,12.0,14.0
73,ASUS Vivobook Go 15,38500.0,Ryzen 3,ASUS,8GB,4.0,512GB,Windows 11,Silver,30.0,15.6
74,HP 14,84790.0,,HP,24GB,3.0,1TB,Windows 11,Silver,4.0,14.0
75,HP Victus,77526.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,20.0,15.6
76,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
77,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,33.0,14.0
78,acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52,37990.0,i3,ACER,16GB,4.0,512GB,Windows 11,Gray,28.0,62.0
79,Lenovo IdeaPad Slim 3,38490.0,i3,LENOVO,8GB,3.9,512GB,Windows 11,Grey,28.0,15.6
80,ASUS TUF A15,,Ryzen 7,ASUS,32GB,4.2,1TB,Windows 11,Graphite,,15.6
81,Thomson NEO 14.1 Inch IN-P14C Intel Dual Core 4020 & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/White),14990.0,,THOMSON,8GB,5.0,256GB,,White,46.0,
82,STRIFF Laptop Tabletop Stand,199.0,,STRIFF,,4.2,,,Black,87.0,
83,Lenovo 14 (2025),54150.0,i5,LENOVO,,4.0,512GB,Windows 11,Grey,45.0,14.0
84,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,32999.0,,LENOVO,8GB,3.9,512GB,Windows 11,Silver,58.0,15.6
85,Acer Aspire Lite,46990.0,Ryzen 7,ACER,16GB,4.0,512GB,Windows 11,Gray,30.0,15.6
86,HP 15,56990.0,Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
87,HP 15,60490.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,12.0,15.6
88,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
89,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,33.0,14.0
